image_path,label,plant_type,disease_type,split
dataset\healthy\potato\3f369e63-81eb-4194-a145-df9ed91abc5d___RS_HL 1745.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\413bc2e9-eb2a-48fd-ba65-48b5121fd85c___RS_HL 4200.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\414f6249-9f78-4af5-9593-9d5a7e7d979f___RS_HL 1918.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\415ac4a2-8f16-4052-880e-1e1f208965f0___RS_HL 1884.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\43fd6ace-3712-494a-9aba-de5482d22561___RS_HL 1968.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\45bc0b37-ca59-4a89-8531-705af42a6fd5___RS_HL 1946.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\468d3107-f09a-4f0d-8b9d-f08d7c49738f___RS_HL 1747.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\46b2555a-c0a6-48c2-af13-0816e147e4de___RS_HL 1943.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\4a08efaa-28cc-4356-8769-4002f4b299ef___RS_HL 1850.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\4ae82355-6885-40e7-9807-dabe46ed3441___RS_HL 5410.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\4bbccfb6-5720-4c80-9b37-0c3ed8999c9f___RS_HL 1791.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\51a03694-82cd-43a5-9877-ddce42c1a5ad___RS_HL 1779.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\52dd2fdd-6966-450c-a42b-ee14428d4271___RS_HL 1955.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\533abd3a-3e1d-42d0-ae9c-5189282b78af___RS_HL 5369.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\54f86311-9d76-421b-b401-0b02f6e738a5___RS_HL 4172.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\56ae1281-5ee5-4f2a-8678-c2e4491878c6___RS_HL 1869.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\57c2663b-5d1d-4476-b067-38b2149c3b2d___RS_HL 1796.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\57e24d88-fd01-4422-b8b5-d688d2296184___RS_HL 5401.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\57e262fc-e0ba-44db-a967-5ba6f1826e49___RS_HL 1897.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\58a98860-86d8-41e7-9f8c-cc2ca5e90012___RS_HL 1758.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\5a3fc4bb-a78c-4276-8934-f0b037ffb860___RS_HL 5412.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\5cb360dd-5c17-4c57-b31d-97cd8dd8d0bd___RS_HL 1797.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\5d505af8-3f73-4781-980c-a4a696a04550___RS_HL 1934.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\5df30492-0b54-474d-8883-bba9474ca88f___RS_HL 1801.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\5e19b1f4-fd65-4c4d-bcd2-18c8c519eddb___RS_HL 1965.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\5ea316eb-10a2-42c0-b781-40d90356ccaa___RS_HL 1935.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\5fcbde8f-52af-4963-b324-ff7f4dd6bd4c___RS_HL 1762.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\60e9a878-13e0-4345-964c-fd807cd20bbb___RS_HL 1876.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\61b05f0a-14bc-4c8f-a256-57c8b8898d8c___RS_HL 1769.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\61b8a692-91d8-40f5-a4a4-4d910875a638___RS_HL 1966.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\683b04ad-7941-4819-9965-ba32c725eb22___RS_HL 1861.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\6f4b9acd-f34d-4771-a6bc-2001de2dd1d3___RS_HL 1898.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\71c06efe-089f-49b3-beed-095bd7640e32___RS_HL 1947.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\750584fd-72e0-45c8-b37c-97208bd559cc___RS_HL 1885.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\762672f4-17e6-4fd6-84f1-3bcb091b3ca5___RS_HL 5417.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\774875d3-438a-4305-afe2-7d59e2925dc4___RS_HL 1759.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\77c75478-e1f0-4aaa-9cbc-af1fed928a74___RS_HL 1748.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\7948ada9-eabc-4cb7-a579-b73e938eb716___RS_HL 4185.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\799b10e8-ba67-4e08-9abe-748789572ad1___RS_HL 1881.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\7bfda067-6e35-4af5-a9c4-4b3b5f357871___RS_HL 1813.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\7e6c8297-dfe1-4826-826e-01d696cc263b___RS_HL 1863.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\7e7b6ab4-9adb-4a3b-abfb-8716b0039879___RS_HL 1921.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\80bb8697-bfab-449b-b870-e1ed2089df58___RS_HL 1827.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\849aa978-c7b9-4344-9ca8-129219a65f8e___RS_HL 1874.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\8583c4ff-2d8b-4b6f-89a8-fcc98917ce9b___RS_HL 1961.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\8665efd2-fa3d-45f8-b1c0-746c99fb7d1e___RS_HL 1924.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\875d6ded-5f01-495c-a945-ad2e17f87f91___RS_HL 1848.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\882798ca-67c3-45a3-86cf-4aed69388145___RS_HL 1750.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\8b2ce6b6-f00a-4f25-ac6d-4249dd7dc5f6___RS_HL 1890.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\8c1e1281-5937-4559-a02f-02817de6e122___RS_HL 4173.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\907f26b7-a14f-463f-a41e-f35d6e0f1417___RS_HL 1757.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\923d4cc3-021a-4bcd-9f5f-1d6f69e4ad33___RS_HL 1888.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\929107f1-4ae9-4dae-8319-ae7cf4804236___RS_HL 1932.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\949cafd0-098b-497f-9590-f0fb8ccafc94___RS_HL 4168.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\9a6eb7c4-6b43-477a-89e0-69f62ef67991___RS_HL 1846.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\9b5be0c5-7d7e-493d-88ba-c721c85f73ca___RS_HL 5405.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\9c620128-2872-4bbb-bc14-d5b785242cf6___RS_HL 1751.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\9d7d1bb9-1b10-4a8f-a961-e404b9d5acf8___RS_HL 1960.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\a02b6205-b40a-4178-8b34-3494f84b9d1f___RS_HL 1958.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\a1abff90-34e5-464d-b4d3-0c09f5924900___RS_HL 5414.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\a3ec91aa-8503-4711-a912-0d1427e25686___RS_HL 5409.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\a4d1d8cb-26a2-413f-a229-021e2eea87ac___RS_HL 1819.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\a5050bde-febc-4931-b31d-45c9652df318___RS_HL 5373.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\a8d687be-3777-403f-bae7-5c8c19340b3f___RS_HL 1738.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\aa04db6d-645f-4e8a-88dc-c9f9396f0800___RS_HL 1975.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\ad9b6cf4-e065-496d-91c7-5713ce14e19e___RS_HL 1926.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\af15ac00-67ff-4114-ace8-6dca48b94665___RS_HL 1865.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\b0fe9fe9-52e7-40e4-b4c0-769f1a0c7fb9___RS_HL 4175.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\b28c43f9-5844-4e9b-86bf-36bc114cae07___RS_HL 1736.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\b35b9f8b-daca-4d12-a5be-defe68d0acc5___RS_HL 1903.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\b4031970-60ea-4739-9fed-6c81be1bad1c___RS_HL 1752.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\b42621c3-f751-46e1-a8d2-83ed85b90554___RS_HL 1740.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\b536ea91-c5f8-413b-87f3-a22ac3d959d1___RS_HL 1825.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\b61b9d33-59ea-41b0-a554-c382eb6128c5___RS_HL 1919.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\b89db9d3-a413-4781-bc88-5f6c2085ab5f___RS_HL 1909.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\b8b7b98a-eb1a-4213-9b0b-aeef4df427e8___RS_HL 1858.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\b925ad3e-fc49-497d-a6eb-115f0de20800___RS_HL 4170.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\b9ea902d-e557-4fa5-893b-39a7a57c0121___RS_HL 1893.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\bb04f738-1848-4dda-8834-384a48b335cd___RS_HL 1765.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\bb328d40-e4e6-4b84-a92a-e7cb3922c19d___RS_HL 1829.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\bde33d08-678c-4f84-b80e-fcb986a9a446___RS_HL 5415.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\bf2bffbb-cd8f-4d36-bd58-847808397c75___RS_HL 1786.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\c07db642-c675-4066-99b6-56bc8207fb37___RS_HL 4164.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\c3caa84b-6078-4489-80ac-919d92d25ff7___RS_HL 1772.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\c548fe0e-21c2-4241-b806-1e438a1213bd___RS_HL 1770.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\c6204cb3-cd9f-4d7b-92a6-9773fe562cab___RS_HL 1939.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\c6abf1da-b06f-4cd2-8af6-d68be5eff6f9___RS_HL 1766.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\c85bacb0-e5e8-4127-a0b0-a7342f2cab5f___RS_HL 5406.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\c9ad5c9a-c9b0-4e07-9e03-9e9edfd58a19___RS_HL 1755.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\d1752ed4-a0a7-4075-917d-205c0e785dcf___RS_HL 1911.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\d227e4c8-e203-4aa4-b813-25b96baa2869___RS_HL 1831.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\d287be3d-cac6-4485-8c31-674fb8b459be___RS_HL 1973.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\d325e580-5faa-4aea-927d-2700f52cc343___RS_HL 1872.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\d340704d-cc00-4068-bb8a-ae70840b7bfa___RS_HL 1773.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\d50a580b-46bd-47f5-a0bf-8535da774104___RS_HL 5408.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\dbe4f332-9189-4b76-b30c-f0c9a55e48d3___RS_HL 1841.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\dca8ac5c-b925-435a-a5e9-da09fa8938a1___RS_HL 4182.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\de9a8669-d437-40f0-aa56-fe2d8276a1e0___RS_HL 1910.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\e1b49d1b-165b-4f4e-8a30-735e62bc39c5___RS_HL 1839.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\e34e563f-7a4a-4b44-bdf2-b6f96cbcd929___RS_HL 5370.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\e51367c1-d582-45e3-acf6-b0e652b43d3a___RS_HL 1873.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\e693354a-053c-4093-8642-cc8f5f9eb2cc___RS_HL 1746.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\ec6e43d3-512d-4908-99f2-c9e2a0be54be___RS_HL 4202.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\ee052892-e935-4fbb-9344-4d23c57c6890___RS_HL 5400.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\ef7005dc-1d44-412e-b858-145a2d7a6fa9___RS_HL 1951.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\f0036dfd-9f46-4f2f-9001-5973495f2171___RS_HL 1849.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\f0fdde26-78b4-46f0-9eb8-7c2a743d34aa___RS_HL 4165.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\f30983c0-6e20-43cc-8672-4622ca34c830___RS_HL 1949.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\f4b5ec24-d318-4309-8294-9126450d5d7f___RS_HL 1824.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\f4be3632-42a1-415a-9f7e-1d5ecb9f49d7___RS_HL 1783.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\f5bd2732-197b-4d8e-bb50-a4966dc416f5___RS_HL 1840.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\f66af6c0-6fc6-4020-b1de-a73685d497c2___RS_HL 4181.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\fd92bd9c-02cb-4599-8673-9316159504a1___RS_HL 1927.JPG,healthy_potato,potato,none,train
dataset\healthy\potato\ff700844-68ad-4e99-8427-58a39c07f817___RS_HL 1860.JPG,healthy_potato,potato,none,train
dataset\diseased\potato\001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B 8178.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\002a55fb-7a3d-4a3a-aca8-ce2d5ebc6925___RS_Early.B 8170.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\009c8c31-f22d-4ffd-8f16-189c6f06c577___RS_Early.B 7885.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early.B 8722.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0182e991-97f0-4805-a1f7-6e1b4306d518___RS_Early.B 7015.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\02578b86-b234-4ac0-9bc3-691b5610e2bf___RS_Early.B 7562.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0267d4ca-522e-4ca0-b1a2-ce925e5b54a2___RS_Early.B 7020.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\028f9b73-142f-499a-9c7b-d7c1ed5e5506___RS_Early.B 8546.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\034959c1-f1e8-4a79-a6d5-3c1d14efa2f3___RS_Early.B 7136.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\03b0d3c1-b5b0-48f4-98aa-f8904670290f___RS_Early.B 7051.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\042135e2-e126-4900-9212-d42d900b8125___RS_Early.B 8791.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\044c3abc-0bc9-45fb-8fd5-094aeb605f90___RS_Early.B 8044.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\048d18ae-98b1-484d-97da-5a0e69b9ebc1___RS_Early.B 6845.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\04c8e6b9-7710-4cdd-b259-2d78b15d1036___RS_Early.B 7066.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\04ee51b6-07e2-4182-84f8-46b22c8938a2___RS_Early.B 8091.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\04fd2a46-ddd4-4b0b-8f19-5ecca482a7d5___RS_Early.B 7273.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\05c35093-11b8-4cd0-b67a-148859754440___RS_Early.B 8939.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0604174e-3018-4faa-9975-0be32d2c0789___RS_Early.B 7123.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\060fd5a7-1606-4a59-895b-604c90d6b414___RS_Early.B 7205.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\065fc68f-88c9-4fc3-b0a6-a6f5e1072eaa___RS_Early.B 7174.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\06ac6596-8d65-46dd-a343-a2209f3480e4___RS_Early.B 6921.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\06d9fcc9-4eea-4736-8392-5e483e2e948d___RS_Early.B 7411.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\07953ca1-8935-449f-b338-4357ed683b2d___RS_Early.B 6815.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\07baabd8-e118-47dd-9d8d-132d4347836a___RS_Early.B 8555.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\07d777f8-2c5a-48da-935e-f17c572b1e6e___RS_Early.B 7880.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\08029ccc-387e-4be6-9389-04f7b82fdb2a___RS_Early.B 9130.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\08194ca3-f0b2-4aaa-8df8-5ec5ddc6696a___RS_Early.B 8151.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\08392b44-ecc6-4f38-8566-361b552cfe21___RS_Early.B 7393.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0898bffc-57aa-4fdb-92d1-fd6a03d2a011___RS_Early.B 6946.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\089fb289-4bea-48b6-a29a-3a1d268d9dd3___RS_Early.B 8081.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\08a892eb-19cc-45ea-babc-181b98f89238___RS_Early.B 7367.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\08bbd7f1-169d-4e38-946f-8d91589b263e___RS_Early.B 7106.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\08cf1add-91f8-41ea-bc13-54e7d1cb6da0___RS_Early.B 6865.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\094fbf4c-da00-4037-82af-03e712d8db47___RS_Early.B 6908.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\096a2c48-104c-4570-9e34-8dd60aa5ebcf___RS_Early.B 6979.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\096f6928-24dd-4efd-acc6-b8246318676c___RS_Early.B 8970.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\09ab9573-90d5-4001-9b74-14551935deef___RS_Early.B 7603.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0a0744dc-8486-4fbb-a44b-4d63e6db6197___RS_Early.B 7575.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0a47f32c-1724-4c8d-bfe4-986cedd3587b___RS_Early.B 8001.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0a6983a5-895e-4e68-9edb-88adf79211e9___RS_Early.B 9072.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0a79700b-f834-41f5-ae51-6ceda6f67a48___RS_Early.B 8951.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0a8a68ee-f587-4dea-beec-79d02e7d3fa4___RS_Early.B 8461.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0ad3ba53-f01b-403b-a99d-5991eed85045___RS_Early.B 7600.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0bbb8bce-2020-416b-8bd6-c160c2db9921___RS_Early.B 8386.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0c4f6f72-c7a2-42e1-9671-41ab3bf37fe7___RS_Early.B 6752.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0c5b14d9-8b1c-4c39-bb23-1835b5760caa___RS_Early.B 7937.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0caf6a39-3f5f-4201-a4d7-3ea35fdf1303___RS_Early.B 6762.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0d2325ff-4e3e-44bf-9614-e5ad6c23fc16___RS_Early.B 6797.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0d2e2971-f1c9-4278-b35c-91dd8a22a64d___RS_Early.B 7581.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0d987d4a-26bc-4f74-8a16-12f8969dfed8___RS_Early.B 7013.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0d9dbf50-53a9-42b2-8b29-0360fb7dbd98___RS_Early.B 6692.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0ddd62cd-a999-4d58-a8f1-506e1004a595___RS_Early.B 8041.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0e0a1b51-f61c-4934-bc57-a820af1faacb___RS_Early.B 7147.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0e6b9e09-2bcd-41e0-b001-b80a33a8a78b___RS_Early.B 8694.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0ed45bc2-c8cc-4d65-8f53-bdc10d78a7dc___RS_Early.B 8504.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0ede4acd-3685-40d9-b52b-7b3cb6536fa8___RS_Early.B 7377.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0f223bbc-d2b4-4d58-8314-359d92d0102b___RS_Early.B 8052.JPG,diseased_potato,potato,unknown,train
dataset\diseased\potato\0f9c098f-a6df-4a73-8c14-8e7d4dbb1b0b___RS_Early.B 7991.JPG,diseased_potato,potato,unknown,train
